measure_id,measure_code,measure_name,description,unit
1,MYH0001,Number of surgeries for malignant cancer,Number of surgeries for malignant cancer,surgeries
2,MYH0002,Median waiting time for surgery for malignant cancer,Median waiting time for surgery for malignant cancer,days
3,MYH0003,Percentage of people who received surgery for malignant cancer within 30 days,Percentage of people who received surgery for malignant cancer within 30 days,percent
4,MYH0004,Percentage of people who received surgery for malignant cancer within 45 days,Percentage of people who received surgery for malignant cancer within 45 days,percent
5,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,Percentage of patients who depart the emergency department within four hours of arrival,percent
6,MYH0006,Number of elective surgeries,Number of elective surgeries,surgeries
7,MYH0007,Percentage of patients who waited longer than 365 days for elective surgery,Percentage of patients who waited longer than 365 days for elective surgery,percent
8,MYH0008,Percentage of patients who received their surgery within clinically recommended times,Percentage of patients who received their surgery within clinically recommended times,percent
9,MYH0009,Median waiting time for elective surgery,Median waiting time for elective surgery,days
10,MYH0010,Percentage of patients who commenced treatment within the recommended time,Percentage of patients who commenced treatment within the recommended time,percent
11,MYH0011,Number of patients presenting to the emergency department,Number of patients presenting to the emergency department,patients
12,MYH0012,Number of patients presenting to the emergency department,Number of patients presenting to the emergency department,patients
13,MYH0013,Time until most patients (90%) departed the emergency department,Time until most patients (90%) departed the emergency department,minutes
14,MYH0014,Average length of overnight stays,Average length of overnight stays,days
15,MYH0015,Percentage of hospital stays that were overnight,Percentage of hospital stays that were overnight,percent
16,MYH0016,Number of hospital stays,Number of hospital stays,stays
17,MYH0017,Number of overnight hospital stays,Number of overnight hospital stays,stays
18,MYH0018,Number of overnight bed days,Number of overnight bed days,bed days
19,MYH0019,Hand hygiene rate,Hand hygiene rate,percent
20,MYH0020,Observed hand hygiene moments,Observed hand hygiene moments,moments
21,MYH0021,Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,Number of cases of healthcare-associated Staphylococcus aureus bloodstream infection,cases
22,MYH0022,Number of patient days under infection surveillance,Number of patient days under infection surveillance,days
23,MYH0023,Rate of healthcare-associated Staphylococcus aureus bloodstream infection,Rate of healthcare-associated Staphylococcus aureus bloodstream infection,"cases per 10,000"
24,MYH0024,Number of admissions to hospital,Number of admissions to hospital,stays
25,MYH0030,Total national weighted activity units,Total national weighted activity units,NWAU
26,MYH0032,Cost per national weighted activity unit,Cost per national weighted activity unit,dollars
27,MYH0033,Percentage of private patients,Percentage of private patients,percent
28,MYH0034,Cost per NWAU comparison to peer average,Cost per NWAU comparison to peer average,code list
29,MYH0035,Number of patients presenting to the emergency department,Number of patients presenting to the emergency department,patients
30,MYH0036,Median time (50%) patients departed emergency department,Median time (50%) patients departed emergency department,minutes
31,MYH0037,Relative stay index,Relative stay index,relative stay index
32,MYH0038,Number of separations,Number of separations,number of separations
33,MYH0039,Number of specialised service units,Number of specialised service units,unit
